epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39461,2.02182,3.7063,1.26248,0.01012,0.84615,0.01396,0.00535,1.97689,3.61026,1.10948,0.00012,0.00012,0.00012
2,19.276,1.68949,3.19829,1.0621,0.01039,0.84615,0.11096,0.02701,1.59458,3.49583,0.99703,0.000259485,0.000259485,0.000259485
3,28.8502,1.58059,2.0808,1.01227,0.01104,0.92308,0.04354,0.02056,1.52579,3.46626,1.02227,0.000398416,0.000398416,0.000398416
4,37.9087,1.53009,1.54316,0.98075,0.01125,1,0.04415,0.0194,1.464,3.29322,1.00827,0.000536792,0.000536792,0.000536792
5,46.9715,1.54988,1.21933,0.99641,0.00957,1,0.36214,0.16838,1.48684,3.0034,0.99049,0.000674614,0.000674614,0.000674614
6,57.5985,1.44846,1.08396,0.9931,0.00889,1,0.12379,0.08178,1.48736,3.02329,1.02509,0.000811882,0.000811882,0.000811882
7,66.3139,1.52165,1.09629,1.01434,0.00559,1,0.04956,0.0201,1.43791,3.00627,1.01628,0.000948595,0.000948595,0.000948595
8,75.0336,1.57242,1.16009,1.04579,0.00567,1,0.06101,0.02777,1.58781,2.99846,1.06454,0.00108475,0.00108475,0.00108475
9,84.4204,1.5207,1.0433,1.059,0.00433,1,0.17897,0.10633,1.48989,2.86344,1.0604,0.00122036,0.00122036,0.00122036
10,94.2465,1.52587,1.02984,1.02669,0.00433,1,0.26773,0.17868,1.38501,2.78875,1.02697,0.00135541,0.00135541,0.00135541
11,102.425,1.57827,1.01478,1.11591,0.00433,1,0.6012,0.3502,1.54369,2.61042,1.08557,0.0014899,0.0014899,0.0014899
12,111.565,1.43414,1.03012,1.04392,0.00433,1,0.70439,0.41307,1.35046,2.5354,1.00423,0.00162385,0.00162385,0.00162385
13,121.881,1.56112,1.0299,1.05963,0.17453,0.92308,0.70504,0.43113,1.39333,2.375,1.02507,0.00175723,0.00175723,0.00175723
14,131.297,1.4839,0.99623,1.02209,0.99481,1,0.995,0.61311,1.43137,1.69301,1.06469,0.00189006,0.00189006,0.00189006
15,142.759,1.34197,0.94221,0.99209,1,0.98372,0.995,0.51148,1.54008,1.28154,1.11828,0.00194456,0.00194456,0.00194456
16,152.615,1.42814,0.96806,1.03986,0.97499,1,0.995,0.52663,1.64982,1.21214,1.11285,0.0019406,0.0019406,0.0019406
17,160.31,1.4509,1.004,1.05219,0.99288,1,0.995,0.48811,1.83467,1.15305,1.17826,0.00193664,0.00193664,0.00193664
18,168.282,1.4562,0.90498,1.02836,0.98636,1,0.995,0.53294,1.56739,0.97556,1.0736,0.00193268,0.00193268,0.00193268
19,178.407,1.3593,0.89342,1.09126,0.97616,1,0.995,0.55383,1.60178,0.94801,1.06597,0.00192872,0.00192872,0.00192872
20,185.653,1.37658,0.84877,1.03598,0.99344,1,0.995,0.61088,1.50231,0.86963,1.03719,0.00192476,0.00192476,0.00192476
21,192.833,1.34004,0.85442,1.00918,0.99309,1,0.995,0.63036,1.45373,0.82321,1.03505,0.0019208,0.0019208,0.0019208
22,200.507,1.49147,0.84718,1.01924,0.99754,1,0.995,0.60397,1.4475,0.77379,1.02771,0.00191684,0.00191684,0.00191684
23,210.33,1.33684,0.81717,0.99969,0.99553,1,0.995,0.51655,1.53049,0.80232,1.05158,0.00191288,0.00191288,0.00191288
24,218.451,1.29565,0.80754,1.00192,0.99471,1,0.995,0.62007,1.32351,0.7405,0.99694,0.00190892,0.00190892,0.00190892
25,225.895,1.33959,0.80601,1.01186,0.99501,1,0.995,0.6009,1.33119,0.77279,0.99008,0.00190496,0.00190496,0.00190496
26,233.173,1.29505,0.80859,0.97731,0.99461,1,0.995,0.55673,1.46522,0.77138,1.03201,0.001901,0.001901,0.001901
27,240.889,1.29937,0.77928,1.0046,0.99419,1,0.995,0.57473,1.33132,0.7639,1.00155,0.00189704,0.00189704,0.00189704
28,247.9,1.36381,0.81265,1.08253,0.98875,1,0.995,0.57858,1.43419,0.79614,1.03404,0.00189308,0.00189308,0.00189308
29,255.407,1.38767,0.81552,1.01764,0.92611,1,0.995,0.60251,1.43861,0.84877,1.01537,0.00188912,0.00188912,0.00188912
30,261.942,1.38238,0.80186,1.02457,0.93999,1,0.995,0.66884,1.29701,0.93255,0.96119,0.00188516,0.00188516,0.00188516
31,271.39,1.27859,0.75522,0.96088,0.97703,1,0.995,0.65547,1.31887,0.91038,0.975,0.0018812,0.0018812,0.0018812
32,279.564,1.34605,0.78863,0.9941,0.98898,1,0.995,0.6386,1.32521,0.92908,0.98728,0.00187724,0.00187724,0.00187724
33,285.779,1.35911,0.79462,0.99847,0.99751,1,0.995,0.64638,1.3067,0.79196,0.9808,0.00187328,0.00187328,0.00187328
34,293.004,1.30072,0.77845,1.02423,0.99584,1,0.995,0.60824,1.46561,0.82326,1.02329,0.00186932,0.00186932,0.00186932
35,300.246,1.26083,0.73339,0.97064,0.99375,1,0.995,0.59915,1.43178,0.74551,1.01805,0.00186536,0.00186536,0.00186536
36,306.879,1.36097,0.79718,1.00405,0.99443,1,0.995,0.60913,1.37426,0.71993,0.99789,0.0018614,0.0018614,0.0018614
37,314.007,1.28494,0.76853,0.99252,0.99504,1,0.995,0.6317,1.39851,0.71894,1.00729,0.00185744,0.00185744,0.00185744
38,320.868,1.44039,0.86396,1.02225,0.99571,1,0.995,0.59954,1.5407,0.75188,1.03871,0.00185348,0.00185348,0.00185348
39,329.062,1.31455,0.73627,1.0067,0.99423,1,0.995,0.60485,1.36732,0.76684,0.99276,0.00184952,0.00184952,0.00184952
40,335.887,1.42762,0.83367,1.10974,0.99532,1,0.995,0.64361,1.37234,0.7151,0.98437,0.00184556,0.00184556,0.00184556
41,342.493,1.30764,0.71663,0.96475,0.99545,1,0.995,0.62209,1.47864,0.70188,1.01833,0.0018416,0.0018416,0.0018416
42,349.523,1.28471,0.71608,0.98739,0.99409,1,0.995,0.58215,1.46274,0.68616,1.01255,0.00183764,0.00183764,0.00183764
43,358.12,1.24059,0.68842,0.97572,0.9944,1,0.995,0.59429,1.42256,0.66711,0.99743,0.00183368,0.00183368,0.00183368
44,364.901,1.33539,0.69577,1.02809,0.99234,1,0.995,0.58473,1.40058,0.6517,1.00101,0.00182972,0.00182972,0.00182972
45,372.177,1.22187,0.68222,0.95511,0.994,1,0.995,0.56491,1.44065,0.62887,1.0082,0.00182576,0.00182576,0.00182576
46,379.656,1.28496,0.69425,1.02587,0.99438,1,0.995,0.60584,1.35317,0.61284,0.98334,0.0018218,0.0018218,0.0018218
47,388.257,1.20009,0.66401,0.97146,0.99535,1,0.995,0.58667,1.4819,0.62467,1.0214,0.00181784,0.00181784,0.00181784
48,395.011,1.18857,0.69885,0.99784,0.99501,1,0.995,0.61496,1.4111,0.60594,1.00792,0.00181388,0.00181388,0.00181388
49,401.448,1.33335,0.68152,1.00697,0.99505,1,0.995,0.61802,1.40486,0.59878,1.00908,0.00180992,0.00180992,0.00180992
50,408.059,1.21449,0.64863,0.96127,0.99427,1,0.995,0.61071,1.39211,0.64977,1.00877,0.00180596,0.00180596,0.00180596
51,415.991,1.23231,0.6715,0.98544,0.99517,1,0.995,0.5882,1.475,0.64031,1.02001,0.001802,0.001802,0.001802
52,422.775,1.23682,0.67226,0.98488,0.99379,1,0.995,0.57407,1.52061,0.64251,1.03689,0.00179804,0.00179804,0.00179804
53,429.65,1.33434,0.7197,0.99311,0.99317,1,0.995,0.57894,1.49171,0.62516,1.02216,0.00179408,0.00179408,0.00179408
54,437.346,1.27741,0.69963,0.97799,0.99355,1,0.995,0.57821,1.42867,0.65432,1.00709,0.00179012,0.00179012,0.00179012
55,445.283,1.20588,0.67751,0.97182,0.99474,1,0.995,0.56683,1.47674,0.68974,1.02321,0.00178616,0.00178616,0.00178616
56,453.191,1.12846,0.63867,0.94879,0.99378,1,0.995,0.62093,1.3441,0.69212,0.99524,0.0017822,0.0017822,0.0017822
57,459.696,1.19034,0.67941,0.92843,0.99099,1,0.995,0.5979,1.35217,0.68713,1.00318,0.00177824,0.00177824,0.00177824
58,465.648,1.14102,0.63786,0.95034,0.99105,1,0.995,0.59159,1.36808,0.66994,1.00017,0.00177428,0.00177428,0.00177428
